time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,reason,result,month
2025-03-22 00:20:00,LONG,STRONG,1975.9,1971.275285714286,1979.7539285714286,1979.7539285714286,0.1950467418102368,0.11702804508614208,60,50,强突破,WIN,2025-03
2025-03-22 00:35:00,LONG,STRONG,1979.72,1975.1342857142859,1985.8342857142857,1985.8342857142857,0.3088459839919606,0.18530759039517636,60,50,强突破,WIN,2025-03
2025-03-22 00:50:00,LONG,STRONG,1980.2,1974.991785714286,1987.1442857142856,1987.1442857142856,0.3506860778853434,0.35068607788534334,100,70,强突破,WIN,2025-03
2025-03-22 01:00:00,LONG,STRONG,1984.9,1979.129285714286,1992.5942857142857,1979.129285714286,-0.29073073130707444,-0.23258458504565954,80,60,强突破,LOSS,2025-03
2025-03-22 04:05:00,LONG,STRONG,1989.94,1985.0607142857143,1994.0060714285714,1985.0607142857143,-0.2451976297921416,-0.2451976297921416,100,70,强突破,LOSS,2025-03
2025-03-22 06:15:00,LONG,STRONG,1991.58,1987.8771428571426,1994.6657142857143,1987.8771428571426,-0.18592560393543234,-0.1115553623612594,60,50,强突破,LOSS,2025-03
2025-03-22 06:20:00,LONG,STRONG,1992.57,1988.7604285714285,1995.744642857143,1988.7604285714285,-0.19118883796159816,-0.11471330277695889,60,50,强突破,LOSS,2025-03
2025-03-22 09:05:00,LONG,STRONG,1994.0,1989.0564285714286,1998.119642857143,1998.119642857143,0.20660194870325654,0.20660194870325654,100,80,强突破,WIN,2025-03
2025-03-22 09:20:00,LONG,STRONG,1999.84,1994.9789285714285,2006.3214285714284,2006.3214285714284,0.324097356359935,0.324097356359935,100,80,强突破,WIN,2025-03
2025-03-22 09:35:00,LONG,STRONG,2001.1,1995.6185714285714,2008.4085714285713,1995.6185714285714,-0.2739207721467455,-0.2191366177173964,80,60,放量趋势,LOSS,2025-03
2025-03-22 09:45:00,LONG,STRONG,2000.8,1995.1857142857143,2008.2857142857142,1995.1857142857143,-0.2806020448963236,-0.16836122693779415,60,50,放量趋势,LOSS,2025-03
2025-03-22 18:10:00,LONG,STRONG,1994.71,1989.8307142857143,1998.7760714285714,1998.7760714285714,0.20384273546387074,0.12230564127832246,60,50,强突破,WIN,2025-03
2025-03-22 18:15:00,LONG,STRONG,1998.81,1993.467857142857,2003.2617857142857,1993.467857142857,-0.26726616622605537,-0.26726616622605537,100,80,强突破,LOSS,2025-03
2025-03-22 20:05:00,LONG,STRONG,1999.81,1995.9952857142857,2002.9889285714285,2002.9889285714285,0.1589615299167678,0.09537691795006067,60,50,强突破,WIN,2025-03
