time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,volatility,reason,result,month
2026-01-11 12:15:00,LONG,STRONG,3110.21,3107.452142857143,3113.5194285714288,3113.5194285714288,0.1064053093337339,0.02340916805342146,22,90,0.000492617172841344,强突破,WIN,2026-01
2026-01-11 12:45:00,LONG,STRONG,3115.19,3110.903428571429,3120.3338857142858,3110.903428571429,-0.137602246687081,-0.030272494271157815,22,90,0.0007644569260393585,强突破,LOSS,2026-01
2026-01-11 14:50:00,LONG,STRONG,3118.95,3114.1941428571427,3124.6570285714283,3124.6570285714283,0.1829791619432344,0.04025541562751157,22,80,0.000847125749737211,强突破,WIN,2026-01
2026-01-11 14:55:00,LONG,STRONG,3125.68,3120.815714285714,3134.4357142857143,3120.815714285714,-0.15562327923158706,-0.048243216561791986,31,90,0.0010374885282105493,强突破,LOSS,2026-01
2026-01-11 15:00:00,LONG,STRONG,3123.54,3117.9396428571426,3133.6206428571427,3117.9396428571426,-0.17929519528667215,-0.05558151053886837,31,80,0.0011953013019111096,放量趋势,LOSS,2026-01
2026-01-11 16:30:00,LONG,STRONG,3138.02,3131.3197142857143,3152.5372857142856,3131.3197142857143,-0.213519535066241,-0.1494636745463687,70,60,0.0017793294588853486,强突破,LOSS,2026-01
2026-01-11 21:50:00,LONG,STRONG,3122.43,3116.457857142857,3133.179857142857,3116.457857142857,-0.19126586847880975,-0.05929241922843102,31,70,0.0012751057898587178,强突破,LOSS,2026-01
2026-01-12 02:45:00,LONG,STRONG,3162.29,3154.367142857143,3188.0392857142856,3154.367142857143,-0.2505417638122084,-0.17537923466854585,70,65,0.002505417638122104,强突破,LOSS,2026-01
2026-01-12 05:30:00,LONG,STRONG,3165.22,3159.7825,3171.2012499999996,3159.7825,-0.1717890067673021,-0.11338074446641938,66,50,0.001145260045115327,放量趋势,LOSS,2026-01
2026-01-12 06:05:00,LONG,STRONG,3162.75,3156.752142857143,3169.3476428571425,3156.752142857143,-0.18964057048002217,-0.12516277651681462,66,50,0.001264270469866835,放量趋势,LOSS,2026-01
2026-01-12 10:45:00,SHORT,STRONG,3110.2,3116.565357142857,3103.1981071428568,3116.565357142857,-0.20466070165446573,-0.1350760630919474,66,50,0.0013644046776964242,放量趋势,LOSS,2026-01
2026-01-12 11:05:00,SHORT,STRONG,3109.35,3115.5717857142854,3102.5060357142856,3115.5717857142854,-0.20009923985030595,-0.13206549830120193,66,50,0.0013339949323354148,放量趋势,LOSS,2026-01
2026-01-12 13:05:00,SHORT,STRONG,3110.42,3116.0578571428573,3104.2183571428573,3116.0578571428573,-0.18125710170514686,-0.11962968712539693,66,50,0.0012083806780342915,强突破,LOSS,2026-01
2026-01-12 13:10:00,SHORT,STRONG,3107.91,3113.8960714285713,3097.1350714285713,3113.8960714285713,-0.1926076182570103,-0.05970836165967319,31,70,0.0012840507883800723,强突破,LOSS,2026-01
2026-01-12 14:10:00,SHORT,STRONG,3109.9,3115.5108571428573,3097.743142857143,3097.743142857143,0.39090829746477396,0.2736358082253418,70,60,0.0015034934517875996,放量趋势,WIN,2026-01
2026-01-12 14:15:00,SHORT,STRONG,3094.25,3101.2588571428573,3079.064142857143,3079.064142857143,0.4907766710142039,0.3435436697099427,70,60,0.0018876025808238779,强突破,WIN,2026-01
2026-01-12 14:20:00,SHORT,STRONG,3076.04,3083.4007142857145,3055.7980357142856,3083.4007142857145,-0.23929189105845483,-0.2273272965055321,95,55,0.002392918910584474,强突破,LOSS,2026-01
2026-01-12 17:30:00,SHORT,STRONG,3092.03,3102.526428571429,3063.164821428572,3102.526428571429,-0.33946722934216755,-0.3224938678750592,95,55,0.003394672293421644,强突破,LOSS,2026-01
2026-01-12 20:40:00,SHORT,STRONG,3103.41,3109.0371428571425,3093.093571428571,3093.093571428571,0.33242235384395835,0.3158012361517604,95,50,0.0015110106992906904,强突破,WIN,2026-01
2026-01-12 20:55:00,SHORT,STRONG,3103.13,3109.0485714285714,3092.279285714286,3092.279285714286,0.3496699875839644,0.33218648820476615,95,50,0.0015894090344725606,放量趋势,WIN,2026-01
2026-01-12 21:00:00,SHORT,STRONG,3093.9,3099.9934285714285,3075.6197142857145,3099.9934285714285,-0.1969497582801117,-0.08862739122605026,45,70,0.001641247985667643,强突破,LOSS,2026-01
2026-01-12 21:20:00,SHORT,STRONG,3099.66,3106.176,3087.714,3087.714,0.38539710806991456,0.3661272526664188,95,50,0.0017518050366814315,放量趋势,WIN,2026-01
2026-01-12 21:45:00,SHORT,STRONG,3095.01,3101.1240000000003,3083.8010000000004,3101.1240000000003,-0.19754378822685656,-0.18766659881551373,95,50,0.001646198235223773,放量趋势,LOSS,2026-01
2026-01-12 21:50:00,SHORT,STRONG,3087.75,3094.296857142857,3073.565142857143,3094.296857142857,-0.21202678788298535,-0.14841875151808975,70,60,0.0017668898990249196,强突破,LOSS,2026-01
2026-01-13 05:00:00,LONG,STRONG,3126.1,3120.0817857142856,3136.9327857142857,3136.9327857142857,0.3465271652949624,0.10742342124143836,31,80,0.001283433945536887,强突破,WIN,2026-01
2026-01-13 05:15:00,LONG,STRONG,3141.57,3135.8700000000003,3158.67,3135.8700000000003,-0.18143794344865205,-0.08164707455189342,45,70,0.0015119828620721485,强突破,LOSS,2026-01
2026-01-13 05:20:00,LONG,STRONG,3143.3,3136.901428571429,3162.4957142857147,3136.901428571429,-0.20356222532279317,-0.09160300139525691,45,70,0.0016963518776899637,强突破,LOSS,2026-01
2026-01-13 08:45:00,LONG,WEAK,3134.79,3129.6690000000003,3138.5454,3138.5454,0.1197974983970221,0.04791899935880884,40,55,0.0009075568060380112,弱趋势,WIN,2026-01
2026-01-13 08:50:00,LONG,STRONG,3136.26,3130.9410000000003,3142.6428,3142.6428,0.20351629010349465,0.04477358382276882,22,80,0.0009422050467754354,强突破,WIN,2026-01
2026-01-13 09:00:00,LONG,STRONG,3141.4,3136.1210714285717,3150.902071428571,3136.1210714285717,-0.16804382031668758,-0.05209358429817315,31,90,0.0011202921354445837,强突破,LOSS,2026-01
2026-01-13 09:05:00,LONG,STRONG,3140.76,3135.2132142857145,3150.7442142857144,3135.2132142857145,-0.17660648105190338,-0.05474800912609004,31,80,0.0011773765403459812,放量趋势,LOSS,2026-01
2026-01-13 09:10:00,LONG,STRONG,3141.52,3136.1125,3151.2535,3136.1125,-0.17213005169471465,-0.053360316025361544,31,80,0.0011475336779647712,放量趋势,LOSS,2026-01
2026-01-13 09:20:00,LONG,STRONG,3146.29,3140.275,3157.1169999999997,3140.275,-0.19117754561721495,-0.059265039141336635,31,80,0.0012745169707814262,强突破,LOSS,2026-01
2026-01-13 13:05:00,LONG,STRONG,3136.04,3130.8971428571426,3142.7257142857143,3142.7257142857143,0.2131897005686889,0.10446295327865757,49,60,0.001093280515736862,放量趋势,WIN,2026-01
2026-01-13 13:30:00,LONG,STRONG,3150.82,3144.0903571428576,3162.9333571428574,3144.0903571428576,-0.21358385617530062,-0.0662109954143432,31,80,0.0014238923745020454,强突破,LOSS,2026-01
2026-01-13 15:55:00,LONG,STRONG,3184.41,3172.96,3215.8975,3172.96,-0.35956425209064846,-0.34158603948611604,95,55,0.003595642520906546,强突破,LOSS,2026-01
2026-01-13 18:45:00,LONG,STRONG,3205.64,3197.940714285714,3230.6626785714284,3197.940714285714,-0.24017936244512506,-0.16812555371158755,70,65,0.0024017936244511897,强突破,LOSS,2026-01
2026-01-13 22:05:00,LONG,STRONG,3293.91,3282.993571428571,3329.3883928571427,3329.3883928571427,1.0770905354773752,0.7539633748341626,70,65,0.003314124724545763,强突破,WIN,2026-01
2026-01-13 22:10:00,LONG,STRONG,3321.19,3304.1257142857144,3376.6489285714288,3304.1257142857144,-0.5138003460893742,-0.35966024226256194,70,65,0.005138003460893742,强突破,LOSS,2026-01
2026-01-14 03:55:00,LONG,STRONG,3352.47,3344.7951428571428,3366.540571428571,3344.7951428571428,-0.2289314190091794,-0.21748484805872043,95,50,0.0019077618250764917,强突破,LOSS,2026-01
2026-01-14 04:00:00,LONG,STRONG,3353.4,3345.6445714285715,3376.6662857142856,3345.6445714285715,-0.23127060808220426,-0.10407177363699192,45,80,0.001927255067351657,强突破,LOSS,2026-01
2026-01-14 07:00:00,LONG,STRONG,3338.99,3332.543428571428,3350.808714285714,3332.543428571428,-0.19306950390901406,-0.18341602871356336,95,50,0.001608912532575078,强突破,LOSS,2026-01
2026-01-14 13:20:00,LONG,STRONG,3301.11,3295.1417142857144,3312.051857142857,3312.051857142857,0.33145993750153313,0.31488694062645645,95,50,0.0015066360795524447,强突破,WIN,2026-01
2026-01-14 14:10:00,LONG,STRONG,3311.6,3304.4377142857143,3327.118285714286,3327.118285714286,0.4686038686521883,0.3280227080565318,70,60,0.0018023225717391667,放量趋势,WIN,2026-01
2026-01-14 14:15:00,LONG,STRONG,3317.37,3310.654285714286,3335.838214285714,3310.654285714286,-0.20244091812833834,-0.19231887222192143,95,55,0.002024409181283452,强突破,LOSS,2026-01
2026-01-14 14:45:00,LONG,STRONG,3341.49,3331.41,3369.21,3331.41,-0.3016618334934394,-0.2865787418187674,95,55,0.0030166183349344326,强突破,LOSS,2026-01
2026-01-14 14:50:00,LONG,STRONG,3355.7,3344.258571428571,3392.884642857143,3344.258571428571,-0.34095504876564614,-0.2386685341359523,70,65,0.003409550487656423,强突破,LOSS,2026-01
2026-01-14 19:25:00,LONG,STRONG,3390.42,3377.1585714285716,3426.8889285714286,3377.1585714285716,-0.39114412289416933,-0.3715869167494608,95,55,0.003911441228941684,强突破,LOSS,2026-01
2026-01-15 03:25:00,SHORT,STRONG,3291.51,3299.6407142857142,3269.150535714286,3299.6407142857142,-0.24702079853058384,-0.23466975860405465,95,55,0.002470207985305898,强突破,LOSS,2026-01
2026-01-15 09:35:00,LONG,STRONG,3360.5,3353.402,3381.794,3353.402,-0.2112185686653759,-0.09504835589941915,45,80,0.0017601547388781324,强突破,LOSS,2026-01
2026-01-15 09:40:00,LONG,STRONG,3370.01,3362.1277142857143,3393.6568571428575,3362.1277142857143,-0.23389502447428637,-0.10525276101342886,45,70,0.001949125203952332,强突破,LOSS,2026-01
2026-01-15 13:45:00,LONG,STRONG,3382.84,3374.5678571428575,3405.588392857143,3374.5678571428575,-0.24453248918490456,-0.2323058647256593,95,55,0.0024453248918490933,强突破,LOSS,2026-01
2026-01-15 17:50:00,SHORT,STRONG,3304.46,3313.432142857143,3279.786607142857,3279.786607142857,0.7466694363721447,0.7093359645535373,95,55,0.0027151615868077988,强突破,WIN,2026-01
2026-01-15 17:55:00,SHORT,STRONG,3301.59,3310.844285714286,3276.1407142857142,3276.1407142857142,0.7708190815421025,0.7322781274649973,95,55,0.0028029784783348962,强突破,WIN,2026-01
2026-01-15 18:40:00,SHORT,STRONG,3292.41,3302.657142857143,3264.230357142857,3302.657142857143,-0.31123532175953145,-0.2956735556715549,95,55,0.0031123532175952656,放量趋势,LOSS,2026-01
2026-01-16 01:05:00,SHORT,STRONG,3306.83,3313.3335714285713,3299.6760714285715,3313.3335714285713,-0.19667087296811073,-0.12980277615895308,66,50,0.001311139153120745,强突破,LOSS,2026-01
2026-01-16 01:10:00,SHORT,STRONG,3305.6,3312.14,3293.828,3312.14,-0.19784607938044418,-0.0613322846079377,31,70,0.0013189738625363013,强突破,LOSS,2026-01
2026-01-16 02:00:00,SHORT,STRONG,3304.2,3311.0794285714283,3289.294571428571,3289.294571428571,0.4511055193822629,0.315773863567584,70,60,0.0017350212283933051,放量趋势,WIN,2026-01
2026-01-16 02:05:00,SHORT,STRONG,3299.75,3306.920857142857,3286.6034285714286,3306.920857142857,-0.217315164568744,-0.20644940634030678,95,50,0.0018109597047395434,放量趋势,LOSS,2026-01
2026-01-16 02:20:00,SHORT,STRONG,3300.87,3308.1034285714286,3287.608714285714,3308.1034285714286,-0.21913703270436896,-0.2081801810691505,95,50,0.0018261419392030288,放量趋势,LOSS,2026-01
2026-01-16 04:00:00,SHORT,STRONG,3297.48,3302.7482142857143,3291.6849642857146,3302.7482142857143,-0.1597648593991258,-0.10544480720342303,66,50,0.001065099062660819,放量趋势,LOSS,2026-01
2026-01-16 04:15:00,SHORT,STRONG,3303.76,3309.3475,3296.4962500000006,3296.4962500000006,0.2198631256507621,0.10773293156887342,49,60,0.0011275032084654784,放量趋势,WIN,2026-01
2026-01-16 04:25:00,SHORT,STRONG,3298.03,3304.0535714285716,3290.1993571428575,3290.1993571428575,0.23743394866458825,0.11634263484564825,49,60,0.0012176099931517318,放量趋势,WIN,2026-01
2026-01-16 04:30:00,SHORT,STRONG,3283.4,3289.4102857142857,3265.3691428571433,3289.4102857142857,-0.18305067047224222,-0.08237280171250899,45,70,0.0015254222539353485,强突破,LOSS,2026-01
2026-01-16 04:35:00,SHORT,STRONG,3286.12,3292.5571428571425,3272.172857142857,3292.5571428571425,-0.19588885546305643,-0.13712219882413948,70,60,0.0016324071288588396,放量趋势,LOSS,2026-01
2026-01-16 04:40:00,SHORT,STRONG,3283.82,3290.4662857142857,3269.4197142857147,3290.4662857142857,-0.20239494595579438,-0.14167646216905605,70,60,0.0016866245496316267,放量趋势,LOSS,2026-01
2026-01-16 09:55:00,SHORT,WEAK,3307.85,3313.4955714285716,3303.709914285714,3303.709914285714,0.12515941515745152,0.05006376606298061,40,55,0.000948177387556447,弱趋势,WIN,2026-01
2026-01-16 10:00:00,SHORT,STRONG,3306.25,3311.981714285714,3299.3719428571426,3299.3719428571426,0.2080319740750825,0.04576703429651815,22,80,0.000963110991088315,强突破,WIN,2026-01
2026-01-16 10:30:00,SHORT,STRONG,3300.0,3305.409,3293.5092,3293.5092,0.19669090909091017,0.043272000000000234,22,70,0.0009106060606060642,强突破,WIN,2026-01
2026-01-16 10:35:00,SHORT,WEAK,3297.64,3303.31,3292.7259999999997,3303.31,-0.17194114578911202,-0.05158234373673361,30,65,0.0009552285877172747,弱趋势,LOSS,2026-01
2026-01-16 10:50:00,SHORT,WEAK,3295.47,3300.7692857142856,3289.6407857142854,3300.7692857142856,-0.1608051572093151,-0.09005088803721645,56,55,0.0010720343813954043,弱趋势,LOSS,2026-01
2026-01-16 11:15:00,SHORT,STRONG,3300.47,3306.47,3292.67,3306.47,-0.18179229018897308,-0.08907822219259681,49,60,0.0012119486012598108,放量趋势,LOSS,2026-01
2026-01-16 13:35:00,SHORT,STRONG,3297.61,3304.348214285714,3290.1979642857145,3304.348214285714,-0.20433630070608994,-0.13486195846601937,66,50,0.0013622420047072828,强突破,LOSS,2026-01
2026-01-16 19:20:00,SHORT,STRONG,3273.75,3280.0392857142856,3265.573928571429,3265.573928571429,0.24974635902469794,0.12237571592210199,49,60,0.0012807505591010406,放量趋势,WIN,2026-01
2026-01-16 19:50:00,SHORT,STRONG,3274.87,3281.225714285714,3267.8787142857145,3267.8787142857145,0.21348284708355958,0.14089867907514933,66,50,0.001293835436870086,放量趋势,WIN,2026-01
2026-01-16 20:05:00,SHORT,STRONG,3265.01,3271.8414285714284,3256.1291428571435,3271.8414285714284,-0.20923147467934874,-0.10252342259288089,49,60,0.0013948764978623648,强突破,LOSS,2026-01
2026-01-16 22:10:00,SHORT,STRONG,3288.05,3294.1625000000004,3280.10375,3294.1625000000004,-0.1859004577181059,-0.0910912242818719,49,60,0.00123933638478733,强突破,LOSS,2026-01
2026-01-16 22:50:00,SHORT,STRONG,3292.79,3298.7310714285713,3285.0666071428573,3298.7310714285713,-0.180426672474448,-0.08840906951247952,49,60,0.0012028444831629933,放量趋势,LOSS,2026-01
2026-01-17 00:30:00,SHORT,WEAK,3291.0,3295.311,3287.8386,3295.311,-0.13099361896080672,-0.05239744758432269,40,55,0.0007277423275600067,弱趋势,LOSS,2026-01
2026-01-17 02:05:00,SHORT,WEAK,3287.05,3291.3635714285715,3283.886714285715,3291.3635714285715,-0.13122926114818217,-0.05249170445927288,40,55,0.0007290514508232266,弱趋势,LOSS,2026-01
2026-01-17 02:20:00,SHORT,WEAK,3284.81,3288.953857142857,3281.7711714285715,3288.953857142857,-0.12615211055912173,-0.05046084422364869,40,55,0.0007008450586617874,弱趋势,LOSS,2026-01
