timestamp,open,high,low,close,volume,datetime
1769987700000,2260.22,2267.9,2227.34,2258.25,16435.022456,2026-02-01 23:15:00
1769988600000,2258.25,2302.32,2248.48,2296.1,6547.134187,2026-02-01 23:30:00
1769989500000,2296.25,2297.59,2265.08,2270.47,4840.678678,2026-02-01 23:45:00
1769990400000,2270.48,2299.25,2242.71,2291.45,6410.177836,2026-02-02 00:00:00
1769991300000,2291.41,2322.49,2288.83,2314.31,6628.502681,2026-02-02 00:15:00
1769992200000,2314.38,2324.49,2307.05,2311.71,2518.536649,2026-02-02 00:30:00
1769993100000,2311.8,2314.39,2287.88,2293.14,2620.551561,2026-02-02 00:45:00
1769994000000,2293.25,2308.57,2257.41,2258.96,3608.654931,2026-02-02 01:00:00
1769994900000,2259.0,2318.56,2250.41,2311.21,7367.13324,2026-02-02 01:15:00
1769995800000,2311.21,2311.47,2294.44,2302.95,1746.110109,2026-02-02 01:30:00
1769996700000,2302.99,2304.58,2287.77,2291.46,1090.064369,2026-02-02 01:45:00
1769997600000,2291.43,2295.34,2276.0,2283.09,2115.467739,2026-02-02 02:00:00
1769998500000,2282.96,2300.97,2280.82,2294.0,1782.753182,2026-02-02 02:15:00
1769999400000,2293.99,2299.66,2269.62,2275.3,2471.81383,2026-02-02 02:30:00
1770000300000,2275.3,2278.68,2260.0,2262.58,2129.988052,2026-02-02 02:45:00
1770001200000,2262.59,2268.27,2227.65,2232.06,4868.483692,2026-02-02 03:00:00
1770002100000,2232.06,2235.7,2166.0,2173.3,31345.043485,2026-02-02 03:15:00
1770003000000,2173.5,2201.65,2165.79,2180.45,11711.57496,2026-02-02 03:30:00
1770003900000,2180.59,2249.49,2178.89,2238.56,16608.348649,2026-02-02 03:45:00
1770004800000,2238.91,2239.99,2207.75,2213.75,6525.221965,2026-02-02 04:00:00
1770005700000,2213.65,2268.4,2212.04,2263.16,7473.684268,2026-02-02 04:15:00
1770006600000,2263.16,2265.71,2253.37,2255.44,2794.943802,2026-02-02 04:30:00
1770007500000,2255.38,2257.49,2240.15,2240.57,2471.324269,2026-02-02 04:45:00
1770008400000,2240.57,2243.06,2214.41,2218.49,4549.726157,2026-02-02 05:00:00
1770009300000,2218.5,2219.87,2184.57,2194.41,12013.113071,2026-02-02 05:15:00
1770010200000,2194.6,2209.21,2184.86,2200.81,4347.614248,2026-02-02 05:30:00
1770011100000,2200.8,2214.62,2189.0,2198.21,9735.507856,2026-02-02 05:45:00
1770012000000,2198.24,2202.3,2177.55,2194.59,7266.892293,2026-02-02 06:00:00
1770012900000,2194.58,2215.65,2189.9,2198.01,3917.871113,2026-02-02 06:15:00
1770013800000,2197.99,2241.01,2156.97,2221.35,22337.751747,2026-02-02 06:30:00
1770014700000,2221.13,2236.29,2207.25,2227.48,5577.599618,2026-02-02 06:45:00
1770015600000,2227.49,2248.4,2218.49,2227.73,7500.613324,2026-02-02 07:00:00
1770016500000,2227.69,2238.45,2217.66,2228.0,2935.891421,2026-02-02 07:15:00
1770017400000,2228.0,2243.23,2225.26,2236.0,2992.756246,2026-02-02 07:30:00
1770018300000,2235.99,2253.89,2228.29,2228.87,4073.530168,2026-02-02 07:45:00
1770019200000,2228.68,2248.17,2227.42,2243.51,4093.668526,2026-02-02 08:00:00
1770020100000,2243.52,2257.73,2236.89,2240.93,3994.902817,2026-02-02 08:15:00
1770021000000,2240.96,2254.79,2239.42,2247.35,2844.265432,2026-02-02 08:30:00
1770021900000,2247.36,2258.93,2244.28,2249.41,3003.700778,2026-02-02 08:45:00
1770022800000,2249.41,2252.15,2237.84,2243.99,4705.869592,2026-02-02 09:00:00
1770023700000,2244.0,2282.5,2238.74,2280.38,6722.067585,2026-02-02 09:15:00
1770024600000,2280.31,2304.33,2274.62,2290.4,11244.302948,2026-02-02 09:30:00
1770025500000,2290.4,2319.52,2287.29,2291.59,8921.870144,2026-02-02 09:45:00
1770026400000,2291.55,2299.77,2285.85,2288.2,4505.585388,2026-02-02 10:00:00
1770027300000,2288.25,2291.3,2275.16,2288.69,3448.616405,2026-02-02 10:15:00
1770028200000,2288.06,2294.0,2274.05,2279.71,2538.684443,2026-02-02 10:30:00
1770029100000,2279.9,2281.65,2276.4,2278.11,850.947521,2026-02-02 10:45:00
1770030000000,2278.11,2287.13,2273.0,2283.1,1861.276113,2026-02-02 11:00:00
1770030900000,2283.1,2284.18,2274.87,2283.7,1211.982454,2026-02-02 11:15:00
1770031800000,2283.59,2293.14,2282.17,2289.15,4676.876331,2026-02-02 11:30:00
1770032700000,2289.16,2298.12,2278.15,2282.3,4508.060538,2026-02-02 11:45:00
1770033600000,2282.35,2301.0,2282.2,2298.89,1444.780173,2026-02-02 12:00:00
1770034500000,2298.89,2318.17,2294.3,2309.27,6519.370344,2026-02-02 12:15:00
1770035400000,2309.2,2311.97,2297.5,2300.77,3453.006662,2026-02-02 12:30:00
1770036300000,2300.64,2318.25,2298.88,2311.89,3997.512782,2026-02-02 12:45:00
1770037200000,2311.87,2313.85,2302.16,2311.21,2386.807527,2026-02-02 13:00:00
1770038100000,2311.29,2326.49,2303.95,2313.46,3656.322791,2026-02-02 13:15:00
